HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000272106.1,100,62,104,61,85,67,74,132,77,95
ENSG00000197530.13,1964,1239,2332,1592,1960,1386,454,2063,1680,2784
ENSG00000189409.14,41,10,25,11,25,13,0,29,42,56
ENSG00000248333.9,912,908,1152,1219,1011,793,627,898,976,839
ENSG00000272004.1,8,0,1,1,1,2,0,2,1,0
ENSG00000189339.12,2286,992,1360,867,2310,2976,2023,1638,2759,1951
ENSG00000293187.1,27,63,24,7,28,45,41,87,49,59
ENSG00000269737.3,6,13,4,0,4,12,13,12,8,11
ENSG00000215914.4,2,1,4,19,9,5,11,3,8,7
ENSG00000008128.23,125,151,332,317,161,215,78,240,193,191
ENSG00000268575.1,52,97,55,39,28,93,53,83,105,85
ENSG00000293188.1,139,416,257,28,114,204,133,683,291,509
ENSG00000290854.1,75,49,56,28,32,74,35,106,98,80
ENSG00000215790.9,0,0,0,0,0,0,0,0,0,0
ENSG00000227775.4,0,0,0,0,0,0,0,0,0,0
ENSG00000008130.15,10927,12310,11408,11068,10687,12850,5741,13424,8565,10740
ENSG00000078369.19,7235,6946,6199,5492,8341,8167,7256,6637,5941,6305
ENSG00000231050.3,5,0,9,2,0,2,0,3,2,2
ENSG00000169885.10,14,10,18,9,7,2,2,12,14,16
ENSG00000178821.13,0,0,2,1,0,0,0,0,1,0
ENSG00000142609.20,1,1,3,0,1,0,0,0,1,1
ENSG00000233542.2,0,0,0,0,1,0,0,0,0,1
ENSG00000187730.9,0,10,5,0,1,4,0,0,1,1
ENSG00000226969.1,0,0,0,0,0,0,0,0,0,0
ENSG00000067606.17,206,174,213,160,198,265,131,197,180,246
ENSG00000271806.1,6,8,6,10,9,9,5,9,6,5
ENSG00000182873.5,99,58,97,69,81,79,37,91,108,135
ENSG00000162585.17,607,363,764,754,524,380,211,525,523,563
ENSG00000234396.3,1,0,1,1,0,0,0,1,1,2
ENSG00000157933.11,2512,1495,1547,1447,1842,2087,2242,2323,2242,2357
ENSG00000287356.1,10,4,38,11,11,14,7,15,13,21
ENSG00000116151.14,31,50,49,25,30,35,38,53,75,64
ENSG00000272161.1,0,0,0,2,0,0,0,0,0,2
ENSG00000292993.1,16,11,25,9,12,8,4,32,35,22
ENSG00000269896.3,0,0,0,0,0,0,0,0,0,0
ENSG00000272420.1,12,4,9,7,5,2,16,10,11,11
ENSG00000157916.20,1750,1729,2012,1866,1744,2372,1848,2186,1959,2099
ENSG00000157911.11,66,52,93,44,77,90,85,88,87,70
ENSG00000149527.18,390,246,331,250,394,367,92,366,544,650
ENSG00000224387.1,0,2,0,2,4,4,5,8,4,8
ENSG00000229393.1,8,8,5,0,4,7,0,5,5,5
ENSG00000157881.16,533,513,638,501,597,650,354,495,650,643
ENSG00000197921.6,0,0,0,0,0,0,0,0,0,0
ENSG00000272449.3,132,95,237,336,187,72,14,114,108,143
ENSG00000238164.6,246,149,357,207,271,246,132,346,240,305
ENSG00000157873.18,4251,3837,5861,5703,4751,4517,1445,5317,3815,5094
ENSG00000225931.3,20,5,17,10,25,20,14,32,22,55
ENSG00000228037.1,20,22,52,25,14,22,32,29,30,21
ENSG00000289610.2,3,1,9,0,3,0,0,10,4,1
ENSG00000157870.17,347,196,272,280,293,350,77,236,327,317
ENSG00000142606.16,4,0,3,11,11,10,3,1,12,14
ENSG00000237058.1,1,0,7,2,3,0,1,6,0,0
ENSG00000215912.13,34,20,33,20,14,23,23,28,19,14
ENSG00000285945.1,0,0,0,0,0,0,0,0,0,0
ENSG00000283259.1,0,0,0,0,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,0,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284745.1,0,0,1,0,0,0,0,0,0,0
ENSG00000169717.7,0,0,0,0,0,0,0,0,0,0
ENSG00000177133.14,0,0,0,0,1,2,0,1,2,0
