"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ANGPTL8",0.405120853219694,0.259021852449536,3.01179739929722,0.0860024158696653,0.931464496757408,NA
"RNU6-1322P",0.403082220441583,0.999137255709996,3.00453046110178,0.332543560015566,0.739478853179285,NA
"LINC02593",0.403036977468983,0.779513211740503,3.00396723269459,0.259494578787822,0.795253664308941,NA
"UFM1P3",0.402301963625235,-0.0541796717816938,3.0105598813339,-0.0179965434727338,0.985641610874732,NA
"FAM187B",0.399308488855168,0.747218298558047,3.00897291436905,0.248330018189855,0.803879075103261,NA
"SDHDP2",0.399106124489552,1.23595448217204,2.34068296518749,0.528031561964669,0.597477429934521,NA
"LORICRIN",0.398083000489633,0.238178855786088,3.00966219607977,0.0791380694140118,0.936922803439524,NA
"MIR6738",0.397199141300878,0.938394214200007,3.00630333548214,0.312142225677806,0.754932437082196,NA
"LPP-AS1",0.394620110205832,0.453634352210614,3.00160812250166,0.151130438650511,0.879872821695467,NA
"SETP4",0.394118350500379,0.357006948661888,3.0102799141507,0.118595930891235,0.905595489278927,NA
"ANKRD34C",0.391333533257247,-0.454960021465347,3.01430390780204,-0.150933693277495,0.880028021550434,NA
"GNAT3",0.38269339728134,-0.442944785107635,3.01411879540203,-0.146956644769057,0.883166241156406,NA
"KANK4",0.380784122824842,-0.153099967609849,3.01453308222744,-0.0507872905799139,0.959495018455825,NA
"WASF3-AS1",0.380438001551334,0.268948423749334,3.00928962603726,0.0893727281755511,0.928785696484316,NA
"PRELID2P1",0.37383839051065,0.63659330325678,3.00547681503674,0.211811084374976,0.832254420640481,NA
"CPB2",0.373091634858215,-0.124301086769985,3.00543982819041,-0.0413587008477316,0.967009936555673,NA
"RN7SL230P",0.372151822390322,1.29728726095592,2.3863507874154,0.543628064992482,0.586697443019285,NA
"GJD4",0.371875723924295,0.82512695618642,3.0087686877974,0.274240741580723,0.783899620564238,NA
"SCYGR4",0.367993716684161,0.234402814059581,3.01245616208804,0.0778111950671867,0.937978241075459,NA
"LINC02947",0.365585667777707,0.477507778536169,3.00632814165342,0.158834217702379,0.873799489187225,NA
"LINC00964",0.365535270531039,0.37215312847829,3.00761870158206,0.123736804895691,0.901523669487332,NA
"C19orf81",0.363839509322097,0.225822963013792,3.01084899952941,0.0750030848604788,0.940212257444803,NA
"FBXW12",0.361293497097817,0.519026965218903,3.00894024819353,0.172494939216726,0.863048439650745,NA
"RPL36AP29",0.357547943322304,0.895780903709607,3.00456579857431,0.298139885681539,0.765596400633486,NA
"RPL7AP42",0.35675744908545,0.659049877010948,3.00842081419041,0.219068380959963,0.826596780868842,NA
"CARHSP1-DT",0.355854941455162,-0.269165270166467,3.01152669591881,-0.0893783443896535,0.928781233255546,NA
"EGLN3P1",0.355233565314278,0.302016673831353,3.00389726715215,0.100541612103027,0.919914348503023,NA
"AMPD1",0.354892686011829,0.444790092265661,3.00640090673889,0.147947697616994,0.882384045118708,NA
"RNU6-1280P",0.351055015073354,0.53650304262738,3.01197994544257,0.178123046084408,0.858626343286097,NA
"RNA5SP152",0.34990248297662,0.300651142197192,3.00681394806246,0.0999899386494885,0.920352313207394,NA
"AMBP",0.347815743428291,0.481926156076274,3.00800418228237,0.160214589765166,0.872712036881912,NA
"SYT16",0.347278400569182,0.493619059952236,3.00436126638662,0.16430083341672,0.869494325638324,NA
"RNA5SP465",0.347159397956522,0.818719632125403,3.0059816002159,0.27236348754317,0.785342544519506,NA
"RN7SL200P",0.346167600531293,0.145911004413228,3.00925272854108,0.0484874543867133,0.961327762631481,NA
"GSTA2",0.342416841600091,-0.456205616040394,3.01473730867472,-0.151325163465384,0.879719220273541,NA
"HYI-AS1",0.339847329859798,-0.222594181741718,3.01291735266295,-0.0738799494599412,0.941105910254052,NA
"SNED1-AS1",0.338934523848385,0.641351485509337,3.0128692705682,0.21287066510801,0.831427843825417,NA
"NKD2",0.338696500206804,0.475125805045587,3.00505438014427,0.158108887541255,0.874370997458091,NA
"OR10H3",0.337792891350467,-0.230383034365003,3.01252574690478,-0.0764750424462628,0.939041169059089,NA
"RN7SL182P",0.336641368900956,0.194463857978325,3.00567155458239,0.0646989714101826,0.948413681804204,NA
"HLA-S",0.33492803657387,0.679027086625762,3.01016474238718,0.225578047960016,0.821529615988612,NA
"ATP12A",0.334411141323494,-0.0506569889969827,3.00904855427783,-0.0168348858728006,0.986568338934293,NA
"HMGN1P4",0.333961805374073,-0.236786235768317,3.012184961983,-0.078609460825551,0.937343262178118,NA
"RPL31P58",0.332386358719381,0.844663605733979,2.88162030636054,0.29312106243476,0.769429618000627,NA
"DHH",0.332359349765343,0.639044742370742,3.0065713424873,0.212549335962894,0.831678492396555,NA
"MIR5695",0.33022416168268,0.511607269613533,3.00823992591193,0.170068638876416,0.864956156742202,NA
"SMARCE1P1",0.329368171138287,-0.536808573265344,3.01277167804416,-0.178177648567724,0.858583462697735,NA
"EEF1A1P33",0.32201643820105,0.83516908584709,3.00615707761385,0.277819509854092,0.781150913829716,NA
"PROKR1",0.321819413196554,0.580822742832008,3.00666704081988,0.193178271802795,0.846819354810139,NA
"CFAP61",0.314224364169778,0.217946130193174,3.00691367798667,0.0724816717515827,0.942218590923953,NA
"SREK1IP1P1",0.309983062155648,0.851174438696275,2.92811372252184,0.29069036224563,0.771288143273558,NA
"LINC01361",0.308850735980271,0.273081969736938,3.01464645755579,0.0905850731028494,0.927822293102049,NA
"NOVA1",0.308030519421196,0.540523060610041,3.00823116140832,0.179681358116439,0.857402729310236,NA
"PALMD",0.305160876859419,0.259994105436063,3.01508608772979,0.0862310719730811,0.931282730830866,NA
"DCDC2",0.304819604418578,0.447528761749127,3.00772106864142,0.14879330613968,0.881716732767697,NA
"RNU6-130P",0.298568249541848,0.45234828305057,3.00651715134346,0.150455913031608,0.880404931035648,NA
"RSL24D1P1",0.297790023255599,0.46646431794197,3.00968381937198,0.154987814646691,0.876830923726936,NA
"ZNF587P1",0.295148624583632,0.145665946228617,3.0064121937349,0.0484517547301639,0.961356213396903,NA
"GSC",0.293811230992623,0.774272963583435,3.0095661842845,0.257270621801432,0.796969869735784,NA
"LINC01903",0.293500149942936,-0.457844514400076,3.01530991796601,-0.151839952394982,0.879313170002658,NA
"RN7SL430P",0.293500149942936,-0.457844514400076,3.01530991796601,-0.151839952394982,0.879313170002658,NA
"RNU6-1138P",0.293500149942936,-0.457844514400076,3.01530991796601,-0.151839952394982,0.879313170002658,NA
"LINC01078",0.293500149942936,-0.457844514400076,3.01530991796601,-0.151839952394982,0.879313170002658,NA
"OR7E29P",0.293500149942936,-0.457844514400076,3.01530991796601,-0.151839952394982,0.879313170002658,NA
"RPL6P26",0.293479649203464,-0.220917704029535,3.0047762453654,-0.0735221813505352,0.941390593674086,NA
"MT3",0.289276513731506,0.170071216024167,3.0108719560336,0.0564857019852188,0.954954885502224,NA
"BMPR1AP1",0.2863295381946,-0.241383581519602,3.01309247779798,-0.0801115741711349,0.936148517478988,NA
"LAMB4",0.282169145806235,-0.0472197363918808,3.01048329282614,-0.0156851016261753,0.987485612716581,NA
"VCX3A",0.279962207834655,-0.223786597923957,3.01340617942078,-0.0742636686193337,0.940800585415564,NA
"GPRC5A",0.279119653534136,-0.163836183713865,3.015743337431,-0.0543269653223975,0.956674666051643,NA
"CTAGE3P",0.278492404736456,0.617050469177131,3.00983641845878,0.205011297422303,0.837563298427886,NA
"SPON1-AS1",0.277035083771829,0.467382485982649,3.01111655480484,0.155218995172022,0.876648673792283,NA
"ADGRF5",0.276167199126577,-0.234220809803691,3.01287351368346,-0.0777400075841017,0.938034868937634,NA
"PRXL2AP2",0.274449314952393,-0.0508350486084099,3.01242933465201,-0.0168751007778519,0.986536256639907,NA
"CYP51A1P3",0.274408883542078,0.25898794171569,3.01361328947228,0.085939341527473,0.931514637164745,NA
"RN7SKP221",0.273579907877185,0.485929326454562,3.0117673406249,0.161343580528281,0.871822800567078,NA
"ASS1",0.273539399662683,0.4160377318929,3.01089554511985,0.138177404582243,0.890100212314232,NA
"FGF7",0.273039493423146,0.337455173473655,3.010777831123,0.112082389469364,0.910758080601334,NA
"GPR89P",0.271786445621057,-0.243373655111001,3.01236396038688,-0.0807915837234171,0.935607701405766,NA
"TMBIM7P",0.270624681611063,0.125135503399946,3.01687287506395,0.0414785470194178,0.966914395131599,NA
"CSE1L-DT",0.270606530555892,0.553494560718102,3.00982608933178,0.183895861186114,0.854095151734436,NA
"KCTD14",0.270581793949208,0.404429112704983,3.01601700768269,0.134093777215043,0.893328420266948,NA
"PINX1-DT",0.269483049113144,-0.537621167555054,3.01312281221635,-0.178426569728699,0.858387984461909,NA
"OR5A2",0.269483049113144,-0.537621167555054,3.01312281221635,-0.178426569728699,0.858387984461909,NA
"TMPRSS11GP",0.269483049113144,-0.537621167555054,3.01312281221635,-0.178426569728699,0.858387984461909,NA
"REV3L-IT1",0.268176967395172,0.630327389097572,3.01186073257966,0.209281718201391,0.834228322545227,NA
"SLX1A-SULT1A3",0.266379221596013,0.0784414618390755,3.01285105702775,0.0260356255102965,0.979228923026557,NA
"MATR3P3",0.264967569311515,0.712275492013023,3.01061094901912,0.236588355013154,0.812976155112476,NA
"RN7SL693P",0.264739157125337,-0.0556390083523119,3.01389921636275,-0.0184608058724202,0.985271244615797,NA
"LINC02869",0.264265555809038,0.340096384036954,3.01520387768882,0.112793826829926,0.910194012586705,NA
"LINC01338",0.263800549529439,0.199745105078579,3.00898415315239,0.0663829036352065,0.947072981099763,NA
"CCDC140",0.262448919397465,0.108689547100896,3.01583933678076,0.03603956808154,0.971250808667846,NA
"RN7SL246P",0.260231580331666,0.365414876201816,3.01030051290213,0.121388171923584,0.903383585038481,NA
"SLC25A21-AS1",0.256432829987753,0.219751915781362,3.01589377658826,0.0728646073304205,0.941913858308263,NA
"DYNLL1P2",0.255647281840525,0.750182970488092,3.0086618782025,0.249341069504388,0.803096965399061,NA
"HSD17B7P1",0.254626439837909,0.184930646483406,3.01121146228936,0.0614140351148926,0.951029475053602,NA
"RPL21P21",0.254072259149425,0.582440302997549,3.01188816073551,0.193380455021715,0.846661021162537,NA
"SNRPCP4",0.254006956324676,0.544430497224474,3.01086362390908,0.180822038202324,0.85650726426438,NA
"IGLV3-24",0.253910438557164,0.189414006727843,3.0105872246216,0.0629159670840129,0.949833420140029,NA
"RN7SL57P",0.252941439220524,0.23455790859455,3.0086444775609,0.0779613245579302,0.937858817849418,NA
"HNRNPMP1",0.251653459376783,0.23303394178725,3.00887257875628,0.0774489233716819,0.938266422405225,NA
"MYLK2",0.251025290327566,-0.298314808054745,3.01256589581702,-0.0990234963719658,0.921119614381275,NA
"SOSTDC1",0.247054448403625,0.384133986236263,3.01007730641207,0.127615986944249,0.898452878831077,NA
"LINC02065",0.246150225030987,0.456568895578901,3.0128089116335,0.151542599935871,0.879547708956448,NA
"TGFB2-AS1",0.245696862356404,0.519994236024133,3.01407759516375,0.172521847764799,0.863027286833858,NA
"MIR6761",0.245351421804368,-0.184866607057858,3.00683994368563,-0.0614820244908874,0.950975329699412,NA
"GPR15LG",0.24458345828578,-0.46010059655639,3.01610170352666,-0.152548104070365,0.878754652801243,NA
"GNA14-AS1",0.24458345828578,-0.46010059655639,3.01610170352666,-0.152548104070365,0.878754652801243,NA
"ZNF90P2",0.24458345828578,-0.46010059655639,3.01610170352666,-0.152548104070365,0.878754652801243,NA
"TRIM42",0.24458345828578,-0.46010059655639,3.01610170352666,-0.152548104070365,0.878754652801243,NA
"ACTL6B",0.243168737823445,0.23575787029281,3.01290874118291,0.0782492569623095,0.937629780709999,NA
"IKBKB-DT",0.242999935288372,0.419643114843199,3.01154011648149,0.139345019030823,0.889177516822894,NA
"AKNAD1",0.242881612306528,0.646631143876419,3.01178557290044,0.214700259439019,0.830001020292943,NA
"LINCADL",0.241401428138797,0.13832969786792,3.01755864274697,0.0458415938992307,0.963436506502936,NA
"APOC1P1",0.240475879895161,-0.274952392489079,3.01394209241741,-0.0912268331832965,0.927312354050631,NA
"PCDHB4",0.239540488100573,-0.538176208338804,3.0133632253628,-0.178596527563984,0.858254521254724,NA
"PON1",0.239540488100573,-0.538176208338804,3.0133632253628,-0.178596527563984,0.858254521254724,NA
"CYLC2",0.239540488100573,-0.538176208338804,3.0133632253628,-0.178596527563984,0.858254521254724,NA
"TENM3",0.239540488100573,-0.538176208338804,3.0133632253628,-0.178596527563984,0.858254521254724,NA
"FRMD3-AS1",0.238881154517095,0.217724489563071,3.0155647484782,0.0722002370113078,0.942442556559965,NA
"PURPL",0.238377639425127,0.43854505080729,3.01157216629114,0.145619970763435,0.88422140165121,NA
"CTNNA1-AS1",0.236949291146227,0.631135233756864,3.01067587318191,0.209632408250521,0.833954583491425,NA
"RPL21P17",0.236088486362706,-0.15393680831327,3.01783302775273,-0.0510090541450203,0.959318305777799,NA
"ATP1B1P1",0.235385166650954,0.474691213889212,3.0138971362503,0.157500801264835,0.874850176457602,NA
"LARGE-AS1",0.234872087724539,-0.156924076933128,3.00747586862489,-0.0521780003524612,0.958386862225882,NA
"RGS7BP",0.234577869388231,-0.0239695278821887,3.01540766078416,-0.00794901737297948,0.993657668556636,NA
"KRT36",0.234150928535715,-0.0115523001131697,3.01208939360329,-0.00383531117559229,0.996939871929338,NA
"BCL9P1",0.234034047853374,-0.161481781525497,3.01742343493384,-0.0535164470640621,0.957320426565222,NA
"MIR1205",0.233897464856988,-0.196569685985647,3.01462417504945,-0.065205370411528,0.948010485261038,NA
"RPS3AP36",0.233068611363001,0.459818871293517,3.01310026491749,0.152606561635979,0.878708550178407,NA
"RNU6-1278P",0.232545261393956,0.0870361003759402,3.0142938390269,0.0288744578411897,0.976964716815773,NA
"LINC02856",0.232101617757014,0.114703975636216,3.00853824879337,0.0381261483653132,0.969587103082198,NA
"LINC02990",0.232023722877717,0.1040466784358,3.01057608596187,0.0345603882662069,0.972430288200799,NA
"MSL3-DT",0.23178357752619,0.581808834828679,3.0123684050374,0.193140000358441,0.846849326625774,NA
"ZNF692-DT",0.231397688851994,0.267374888621037,3.01453881143808,0.0886951223207131,0.929324209083053,NA
"CLPS",0.231145292280258,-0.195013804054045,3.00822698692646,-0.0648268248711157,0.948311883209268,NA
"RN7SKP237",0.230559547482816,0.00065686787750739,3.01299383696997,0.000218011689717883,0.999826051840077,NA
