,symbol
ENSG00000149596,JPH2
ENSG00000254580,LINC02719
ENSG00000266599,ENSG00000266599
ENSG00000236816,ANKRD20A7P
ENSG00000227850,SEPTIN2P1
ENSG00000270868,ENSG00000270868
ENSG00000269621,ENSG00000269621
ENSG00000248967,ENSG00000248967
ENSG00000256081,ENSG00000256081
ENSG00000214980,ENSG00000214980
ENSG00000275691,MT1IP
ENSG00000230451,RPS29P6
ENSG00000125999,BPIFB1
ENSG00000274840,BALR6
ENSG00000211921,IGHD5-12
ENSG00000223977,ENSG00000223977
ENSG00000253286,ENSG00000253286
ENSG00000177511,ST8SIA3
ENSG00000204603,LINC01257
ENSG00000196171,OR6K2
ENSG00000253126,IGLVI-56
ENSG00000275651,MIR6851
ENSG00000279001,ENSG00000279001
ENSG00000288037,ENSG00000288037
ENSG00000177803,YWHAQP4
ENSG00000251298,TMEM184C-DT
ENSG00000274666,ENSG00000274666
ENSG00000257987,SPMIP11
ENSG00000259670,ENSG00000259670
ENSG00000265094,ENSG00000265094
ENSG00000188782,CATSPER4
ENSG00000170162,VGLL2
ENSG00000247675,LRP4-AS1
ENSG00000254702,ENSG00000254702
ENSG00000263849,MIR4744
ENSG00000264655,PPIAP54
ENSG00000163530,DPPA2
ENSG00000279979,ENSG00000279979
ENSG00000201279,Y_RNA
ENSG00000254839,ENSG00000254839
ENSG00000273706,LHX1
ENSG00000249910,TRIM51CP
ENSG00000202217,RN7SKP47
ENSG00000277575,ENSG00000277575
ENSG00000176378,PFN1P10
ENSG00000267462,ENSG00000267462
ENSG00000212260,RNU6-724P
ENSG00000207449,RNU6-19P
ENSG00000259025,ENSG00000259025
ENSG00000270212,ENSG00000270212
ENSG00000226757,PP12613
ENSG00000241136,PAICSP6
ENSG00000133519,ZDHHC8BP
ENSG00000238031,ENSG00000238031
ENSG00000173431,RNASE8
ENSG00000270598,ENSG00000270598
ENSG00000131059,BPIFA3
ENSG00000243822,RPS25P5
ENSG00000259269,ENSG00000259269
ENSG00000171501,OR1N2
ENSG00000275770,MIR6505
ENSG00000246820,RIC3-DT
ENSG00000254442,ENSG00000254442
ENSG00000260867,ENSG00000260867
ENSG00000237300,MTCO1P19
ENSG00000232482,ENSG00000232482
ENSG00000254423,ENSG00000254423
ENSG00000226984,ENSG00000226984
ENSG00000253988,ENSG00000253988
ENSG00000185074,OR7E31P
ENSG00000253630,ENSG00000253630
ENSG00000207422,RNU6-813P
ENSG00000293512,ENSG00000293512
ENSG00000233548,CYCSP44
ENSG00000265485,LINC01915
ENSG00000108381,ASPA
ENSG00000242430,RN7SL274P
ENSG00000252917,SNORA74
ENSG00000135917,SLC19A3
ENSG00000232042,ENSG00000232042
ENSG00000222610,RNU6-402P
ENSG00000229332,PGBD4P8
ENSG00000253131,IGHV7-56
ENSG00000251410,ENSG00000251410
ENSG00000200966,RN7SKP87
ENSG00000235778,ENSG00000235778
ENSG00000232825,PLPPR5-AS1
ENSG00000226153,CHP1P3
ENSG00000206644,RNU6-1279P
ENSG00000207758,MIR532
ENSG00000249787,ENSG00000249787
ENSG00000250591,PRSS3P1
ENSG00000231184,CCNQP3
ENSG00000204913,LRRC3C
ENSG00000257121,ENSG00000257121
ENSG00000264060,MIR4316
ENSG00000234277,LINC01641
ENSG00000199630,Y_RNA
ENSG00000231034,ENSG00000231034
ENSG00000266228,MIR3611
ENSG00000254532,ARL14EP-DT
ENSG00000201683,Y_RNA
ENSG00000288775,ENSG00000288775
ENSG00000237049,RPL34P1
ENSG00000229509,ENSG00000229509
ENSG00000251447,ENSG00000251447
ENSG00000214695,NPAP1P2
ENSG00000271330,ENSG00000271330
ENSG00000206746,RNU6-142P
ENSG00000254468,ENSG00000254468
ENSG00000253813,COX6B1P4
ENSG00000225206,MIR137HG
ENSG00000285882,ENSG00000285882
ENSG00000265442,MIR3941
ENSG00000260420,LINC02182
ENSG00000259167,NMNAT1P1
ENSG00000201821,RNU4-9P
ENSG00000250472,TRIM36-IT1
ENSG00000181785,OR5AS1
ENSG00000171551,ECEL1
ENSG00000227186,ENSG00000227186
ENSG00000225519,ENSG00000225519
ENSG00000233517,ENSG00000233517
ENSG00000202318,Y_RNA
ENSG00000227832,ST13P21
ENSG00000241815,RBBP4P7
ENSG00000258978,HIF1AP1
ENSG00000240454,RPL39P26
ENSG00000255395,ENSG00000255395
ENSG00000235500,SNX19P2
ENSG00000248840,ENSG00000248840
ENSG00000228825,LAMTOR3P1
ENSG00000253671,MTUS1-DT
ENSG00000252334,RNU6-1337P
ENSG00000206805,Y_RNA
ENSG00000249994,ENSG00000249994
ENSG00000135569,TAAR5
ENSG00000285538,ENSG00000285538
ENSG00000239602,RPL35AP16
ENSG00000229957,ENSG00000229957
ENSG00000277876,ENSG00000277876
ENSG00000227408,AMYP1
ENSG00000207698,MIR32
ENSG00000269350,ENSG00000269350
ENSG00000203809,LIN28B-AS1
ENSG00000202172,RNU6-1327P
ENSG00000287724,ENSG00000287724
ENSG00000008118,CAMK1G
ENSG00000229918,DOCK9-AS1
ENSG00000206034,DEFB109B
ENSG00000263629,MIR5586
ENSG00000200874,Y_RNA
ENSG00000286124,ENSG00000286124
ENSG00000224121,ATG12P2
ENSG00000201469,RNA5SP379
ENSG00000242889,RN7SL449P
ENSG00000276645,Metazoa_SRP
ENSG00000267552,ENSG00000267552
ENSG00000283392,ENSG00000283392
ENSG00000234544,PTGES3P5
ENSG00000289921,ENSG00000289921
ENSG00000099812,MISP
ENSG00000201945,SNORA70
ENSG00000152669,CCNO
ENSG00000284652,ENSG00000284652
ENSG00000289896,ENSG00000289896
ENSG00000293009,ENSG00000293009
ENSG00000237631,PARK7P2
ENSG00000259784,ENSG00000259784
ENSG00000271370,ENSG00000271370
ENSG00000235310,GXYLT1P6
ENSG00000231234,SKP1P1
ENSG00000127129,EDN2
ENSG00000279482,ENSG00000279482
ENSG00000260137,ENSG00000260137
ENSG00000249486,ENSG00000249486
ENSG00000200293,RNA5SP393
ENSG00000230355,ENSG00000230355
ENSG00000239690,RN7SL668P
ENSG00000237475,RPL7P53
ENSG00000212303,RNU6-1154P
ENSG00000207206,RNU6-1035P
ENSG00000170775,GPR37
ENSG00000277831,ENSG00000277831
ENSG00000215771,LRRC37A14P
ENSG00000288754,ENSG00000288754
ENSG00000283380,ENSG00000283380
ENSG00000216639,RPL7AP35
ENSG00000242512,LINC01206
ENSG00000224164,LINC02828
ENSG00000237963,PRXL2CP1
ENSG00000226545,ENSG00000226545
ENSG00000201898,SNORA72
ENSG00000291288,ENSG00000291288
ENSG00000154678,PDE1C
ENSG00000207287,RNU6-1274P
ENSG00000279047,PCDHB1-AS1
ENSG00000251271,ALG1L7P
ENSG00000233303,XXYLT1-AS1
ENSG00000258699,ENSG00000258699
ENSG00000257022,ENSG00000257022
ENSG00000224539,SAGE4P
ENSG00000227480,CCDC148-AS1
ENSG00000219186,FTH1P19
ENSG00000240787,NECTIN2P1
ENSG00000289033,ENSG00000289033
ENSG00000227680,ENSG00000227680
ENSG00000272855,ENSG00000272855
ENSG00000186118,TEX38
ENSG00000226842,ENSG00000226842
ENSG00000235088,ENSG00000235088
ENSG00000249484,LINC01470
ENSG00000203811,H3C14
ENSG00000202182,Y_RNA
