,symbol
ENSG00000245248,USP2-AS1
ENSG00000290666,ENSG00000290666
ENSG00000251482,AKIRIN2P1
ENSG00000225222,CHCHD4P5
ENSG00000172208,OR4X2
ENSG00000241146,RPL7P41
ENSG00000244237,ENSG00000244237
ENSG00000255471,PRSS23-AS1
ENSG00000258170,ENSG00000258170
ENSG00000286257,ENSG00000286257
ENSG00000223931,ENSG00000223931
ENSG00000237605,DYRK3-AS1
ENSG00000225385,ENSG00000225385
ENSG00000256283,METTL8P1
ENSG00000229917,RPL7P46
ENSG00000231552,IGBP1P3
ENSG00000172410,INSL5
ENSG00000265141,RN7SL451P
ENSG00000234521,ENSG00000234521
ENSG00000254311,SNRPCP17
ENSG00000179284,DAND5
ENSG00000196832,OR11G2
ENSG00000229798,KRT18P26
ENSG00000288153,ENSG00000288153
ENSG00000178397,FAM220A
ENSG00000214380,NFYBP1
ENSG00000235390,ENSG00000235390
ENSG00000288262,ZNF73P
ENSG00000281887,GIMAP1-GIMAP5
ENSG00000218424,NDUFS5P1
ENSG00000280660,ENSG00000280660
ENSG00000233717,RPS29P29
ENSG00000286315,ENSG00000286315
ENSG00000259339,TGIF1P1
ENSG00000165566,AMER2
ENSG00000249346,LINC01016
ENSG00000224081,SLC44A3-AS1
ENSG00000248542,ENSG00000248542
ENSG00000200156,RNU5B-1
ENSG00000224924,LINC00320
ENSG00000270759,OOEPP1
ENSG00000289860,ENSG00000289860
ENSG00000272840,ENSG00000272840
ENSG00000265083,MIR3691
ENSG00000279087,ENSG00000279087
ENSG00000234721,LINC02092
ENSG00000206791,RNU1-129P
ENSG00000266190,ENSG00000266190
ENSG00000265883,ENSG00000265883
ENSG00000213964,CHCHD4P4
ENSG00000226919,ENSG00000226919
ENSG00000236823,ENSG00000236823
ENSG00000286569,ENSG00000286569
ENSG00000266146,MIR5190
ENSG00000273650,ENSG00000273650
ENSG00000255220,DDX18P5
ENSG00000197334,Metazoa_SRP
ENSG00000253471,ENSG00000253471
ENSG00000250956,ENSG00000250956
ENSG00000197273,GUCA2A
ENSG00000244451,RPL34P21
ENSG00000258073,ENSG00000258073
ENSG00000254737,OR10G4
ENSG00000289892,ENSG00000289892
ENSG00000264408,MIR4470
ENSG00000242256,RN7SL57P
ENSG00000249057,MAST4-IT1
ENSG00000278255,ENSG00000278255
ENSG00000271286,CYTH1P1
ENSG00000241546,RFKP3
ENSG00000188373,GPR15LG
ENSG00000213486,ENSG00000213486
ENSG00000251186,ENSG00000251186
ENSG00000270187,IGKV1OR2-11
ENSG00000263749,OOSP1P2
ENSG00000200495,RNU6-1205P
ENSG00000234438,KBTBD13
ENSG00000228336,OR9H1P
ENSG00000207142,Y_RNA
ENSG00000257803,PIGAP1
ENSG00000286128,ENSG00000286128
ENSG00000106125,MINDY4
ENSG00000237913,FTLP19
ENSG00000237810,ENSG00000237810
ENSG00000228666,KRT18P1
ENSG00000278625,U6
ENSG00000234860,ENSG00000234860
ENSG00000261810,ENSG00000261810
ENSG00000278456,ENSG00000278456
ENSG00000279201,ENSG00000279201
ENSG00000243911,RN7SL430P
ENSG00000259202,SMAD3-AS1
ENSG00000292366,VAMP7
ENSG00000108825,PTGES3L-AARSD1
ENSG00000270141,TERC
ENSG00000233216,ENSG00000233216
ENSG00000165084,C8orf34
ENSG00000164500,SPMIP7
ENSG00000286836,ENSG00000286836
ENSG00000267098,ENSG00000267098
ENSG00000214835,RPL23AP6
ENSG00000265439,RN7SL811P
ENSG00000201179,RNU6-1322P
ENSG00000270279,ENSG00000270279
ENSG00000225971,RPS3AP51
ENSG00000281655,ENSG00000281655
ENSG00000266979,LINC01180
ENSG00000268316,ENSG00000268316
ENSG00000225781,OR6V1
ENSG00000255541,CKS1BP4
ENSG00000200220,RNU6-179P
ENSG00000153292,ADGRF1
ENSG00000265768,MIR4506
ENSG00000282097,ENSG00000282097
ENSG00000268560,ENSG00000268560
ENSG00000279595,ENSG00000279595
ENSG00000236447,ATG10-IT1
ENSG00000285743,ENSG00000285743
ENSG00000200665,RNU6-1188P
ENSG00000204113,BMP2KL
ENSG00000177354,C10orf71
ENSG00000235414,RPSAP24
ENSG00000266938,ENSG00000266938
ENSG00000289275,ENSG00000289275
ENSG00000249271,HNRNPA1P44
ENSG00000224238,WARS2-IT1
ENSG00000243635,EZRP1
ENSG00000215808,LINC01139
ENSG00000283757,ENSG00000283757
ENSG00000280878,ENSG00000280878
ENSG00000239542,RN7SL399P
ENSG00000271078,ENSG00000271078
ENSG00000225175,HRGP1
ENSG00000225585,IPPKP1
ENSG00000265370,MIR4682
ENSG00000288951,ENSG00000288951
ENSG00000234658,RPL21P73
ENSG00000215498,FAM230B
ENSG00000293020,ENSG00000293020
ENSG00000224359,ENSG00000224359
ENSG00000173976,RAX2
ENSG00000265719,MIR4681
ENSG00000217227,TFGP1
ENSG00000249690,ENSG00000249690
ENSG00000256499,LINC02468
ENSG00000171004,HS6ST2
ENSG00000291095,ENSG00000291095
ENSG00000236120,LINC03070
ENSG00000252183,RNU6-948P
ENSG00000289949,ENSG00000289949
ENSG00000278924,ENSG00000278924
ENSG00000287719,ENSG00000287719
ENSG00000175426,PCSK1
ENSG00000214890,ENSG00000214890
