"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL34P1",0.192889710878269,-1.40827500136823,3.02394604358277,-0.465707714711636,0.641424729497703,NA
"GRPEL2P2",0.192889710878269,-1.40827500136823,3.02394604358277,-0.465707714711636,0.641424729497703,NA
"FAM246B",0.19283696683149,-1.47900825573952,3.01888136624603,-0.489919303314215,0.624191002935077,NA
"UQCRHP1",0.191563250772169,-1.64040876523766,3.01827037531804,-0.543492981494345,0.586790421931547,NA
"LRRC3C",0.189085347745842,-1.67330359467785,3.02240221476051,-0.553633658189483,0.579829586327303,NA
"SNORA49",0.187032883565898,-1.52146478672105,3.02085828856968,-0.503653148006963,0.614505137484481,NA
"CACYBPP3",0.186400048899783,-1.21464357199821,3.01718958134223,-0.40257449499009,0.687261275636342,NA
"MIR181D",0.186400048899783,-1.21464357199821,3.01718958134223,-0.40257449499009,0.687261275636342,NA
"SCYGR10",0.186400048899783,-1.21464357199821,3.01718958134223,-0.40257449499009,0.687261275636342,NA
"SNORA74A",0.186400048899783,-1.21464357199821,3.01718958134223,-0.40257449499009,0.687261275636342,NA
"RAC1P5",0.186071346516258,-1.40226668922862,3.02355518097196,-0.463780749911052,0.642804836519454,NA
"RNU1-151P",0.186046739625544,-1.6686859073442,3.02208950824763,-0.552162966315249,0.580836704809846,NA
"RFX4",0.186018602469479,-1.47319095035732,3.01849905016794,-0.48805413746125,0.625511495086438,NA
"GYG1P1",0.185402350857008,-1.41126651037786,3.02412949317344,-0.466668677238724,0.640736943104485,NA
"CCDC86-AS1",0.185402350857008,-1.41126651037786,3.02412949317344,-0.466668677238724,0.640736943104485,NA
"RNA5SP104",0.185349606810229,-1.48191770078849,3.01906077069679,-0.4908538824962,0.623529796915651,NA
"MIR5697",0.185349606810229,-1.48191770078849,3.01906077069679,-0.4908538824962,0.623529796915651,NA
"RNU6-686P",0.185060595685189,-1.52952186134411,3.02125813429287,-0.506253286994325,0.612678851365014,NA
"LINC00837",0.184619435334554,-1.41191276967441,3.024168332268,-0.466876382048328,0.640588323769839,NA
"RNU7-56P",0.184619435334554,-1.41191276967441,3.024168332268,-0.466876382048328,0.640588323769839,NA
"AFF2-IT1",0.184566691287775,-1.48254703428303,3.0190987526777,-0.491056158056482,0.62338672875599,NA
"RN7SKP243",0.184347584719839,-1.50023328146177,3.01976962676829,-0.496803884694773,0.619327355533359,NA
"RNA5SP296",0.184347584719839,-1.50023328146177,3.01976962676829,-0.496803884694773,0.619327355533359,NA
"CDYL-AS1",0.183361440779484,-1.49799052464544,3.01962782053632,-0.496084489107463,0.619834802199044,NA
"CHP1P3",0.182295120539896,-1.51582709438412,3.0205274448066,-0.501841854471603,0.61577876898679,NA
"CTCFL",0.182295120539896,-1.51582709438412,3.0205274448066,-0.501841854471603,0.61577876898679,NA
"SEC22B3P",0.180322832659186,-1.52390593055353,3.02092608577266,-0.50444992273413,0.613945243954665,NA
