HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000142609.20,0,0,0,0,0,2,1,2,0,0
ENSG00000233542.2,0,0,0,0,0,0,0,0,1,0
ENSG00000187730.9,2,2,0,0,1,1,0,0,2,0
ENSG00000226969.1,0,0,0,0,0,0,0,0,0,0
ENSG00000067606.17,128,64,128,44,143,163,124,103,163,127
ENSG00000271806.1,4,0,4,4,3,9,1,1,11,5
ENSG00000182873.5,48,39,75,23,52,58,68,57,88,71
ENSG00000162585.17,312,118,262,134,301,238,339,268,339,295
ENSG00000234396.3,0,0,0,0,0,1,0,1,0,0
ENSG00000157933.11,1746,538,1305,620,1502,1677,1760,1320,2028,1429
ENSG00000287356.1,3,2,6,0,2,0,0,5,11,6
ENSG00000116151.14,28,12,65,7,36,32,31,45,56,48
ENSG00000272161.1,1,0,0,0,0,0,1,0,1,0
ENSG00000292993.1,25,4,33,0,8,9,13,13,17,11
ENSG00000269896.3,0,0,0,0,0,0,0,0,0,0
ENSG00000272420.1,7,4,1,4,2,1,1,2,8,5
ENSG00000157916.20,931,557,1138,457,1025,1352,1066,1057,1429,1097
ENSG00000157911.11,43,23,64,35,58,37,49,43,53,40
ENSG00000149527.18,250,117,252,74,299,296,358,234,374,434
ENSG00000224387.1,3,1,6,0,2,1,0,5,4,3
ENSG00000229393.1,4,2,8,0,1,4,4,3,2,3
ENSG00000157881.16,313,161,336,162,309,438,394,283,484,315
ENSG00000197921.6,0,0,0,0,1,0,0,0,0,0
ENSG00000272449.3,52,39,96,25,81,69,67,53,60,50
ENSG00000238164.6,137,63,185,67,185,201,130,186,172,192
ENSG00000157873.18,2298,1358,2642,975,2835,2838,3140,2533,2604,2455
ENSG00000225931.3,23,8,25,11,13,13,19,15,22,26
ENSG00000228037.1,12,12,26,2,7,12,14,13,21,7
ENSG00000289610.2,0,0,4,0,0,0,1,5,2,1
ENSG00000157870.17,152,67,166,53,151,243,221,120,207,178
ENSG00000142606.16,0,0,3,5,2,2,8,1,4,1
ENSG00000237058.1,0,0,2,0,1,0,1,2,1,0
ENSG00000215912.13,26,1,28,2,26,11,43,25,17,15
ENSG00000285945.1,0,0,0,0,0,0,1,0,0,0
ENSG00000283259.1,0,0,0,0,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,0,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0,0,0,0,0
ENSG00000169717.7,0,0,0,0,0,0,0,0,0,0
ENSG00000177133.14,0,0,3,3,0,0,0,4,0,0
ENSG00000142611.17,3,0,3,0,0,1,0,0,0,0
